id,name,latitude,longitude,address,hash_tags,unique_page
116,La Piazza,45.569402,-73.749908,2440 Route des Laurentides,"Italian,Mediterranean,International,Grill,Seafood/Fish,Burgers",https://www.restomontreal.ca/resto/la-piazza-chomedey/12318/en/
117,Le Rose-Marie,45.527799,-73.549726,1550 Rue Fullum,"Italian,Pasta,Market,Creative,Charcuterie",https://www.restomontreal.ca/resto/le-rose-marie-village-centre-sud/13567/en/
118,Il Pazzesco,45.600639,-73.577024,7031 Rue Jarry E,"Italian,Pasta,Grill,Seafood/Fish,Pizza,Gluten-free Options",https://www.restomontreal.ca/resto/il-pazzesco-anjou-st-leonard/1498/en/
119,Bistro GURU,45.517245,-73.568732,3464 Rue Saint-Denis,"Indian,Vegetarian",https://www.restomontreal.ca/resto/bistro-guru-le-plateau/8344/en/
120,Septembre Bistro Bar,45.569634,-73.200354,919 Rue Laurier,"Grill,Burgers,Sandwiches,Bistro",https://www.restomontreal.ca/resto/septembre-bistro-bar-beloeil/3657/en/
121,Hang Bar,45.500162,-73.559876,686 Rue Notre Dame O,"Vietnamese,Asian,Fusion,Tartare,Seafood/Fish,Grill",https://www.restomontreal.ca/resto/hang-bar-old-montreal/16694/en/
122,Avant-Garde Artisans Brasseurs,45.56714,-73.537936,5500 Rue Hochelaga,"Pizza,Urban,Market",https://www.restomontreal.ca/resto/avant-garde-artisans-brasseurs-hochelaga-maisonneuve/14137/en/
123,Shoji Sushi,45.47909,-73.477701,2035A Rue Victoria,"Japanese,Sushi,Fusion,Grill,Asian,Tartare",https://www.restomontreal.ca/resto/shoji-sushi-/2116/en/
124,Station Pizza Moderne,45.534219,-73.71654,5393 Boulevard Gouin O,"Italian,Pizza,Pasta,Grill,Salads",https://www.restomontreal.ca/resto/station-pizza-moderne-ahuntsic-cartierville/13584/en/
125,Gray Collection,45.506112,-73.554094,425 Rue St-Jean-Baptiste Bureau 200,"Italian,Pizza,Pasta,Grill,Salads",https://www.restomontreal.ca/resto/gray-collection-old-montreal/17645/en/
126,Giorgio,45.625681,-73.806066,257 Boulevard Labelle,"Italian,Pasta,Pizza",https://www.restomontreal.ca/resto/giorgio-/3460/en/
127,New Restaurant Luce,45.729867,-73.456993,313 Rue Notre-Dame,"Italian,Pizza,Pasta",https://www.restomontreal.ca/resto/restaurant-luce-repentigny/20127/en/
128,McKibbins Irish Pub,45.51341,-73.571244,3515 Boulevard St Laurent,"Irish,Pub Food,Fish & Chips,Chicken Wings",https://www.restomontreal.ca/resto/mckibbins-irish-pub-le-plateau/3367/en/
129,Rouge Boeuf,45.718144,-73.696813,2790 Boulevard de la Pinière,"Steakhouse,Grill,Seafood/Fish,Wild Game,Burgers,Tartare",https://www.restomontreal.ca/resto/rouge-boeuf-terrebonne-lachenaie/8996/en/
130,Vivaldi,45.502836,-73.84069,13071 Boulevard Gouin O,Italian,https://www.restomontreal.ca/resto/vivaldi-pierrefonds-roxboro/983/en/
